"yyyymm"	"Cnsmr"	"Manuf"	"HiTec"	"Hlth"	"Other"	"b.m"	"ntis"	"infl"
196605	-6.04	-4.54	-4.6	-5.26	-7.85	0.5127422037	0.0159449125	0
196606	-2.07	-1.5	0.16	0.99	0.73	0.5209746006	0.0171222618	0.0030959752
196607	-1.95	-0.71	-1.48	-1.72	-2.04	0.5349430008	0.0186405696	0.0030864198
196608	-7.14	-7.6	-5.33	-8.07	-11.72	0.5749546556	0.0214695363	0.0061538462
196609	-1.38	0.08	-1.27	-1.13	-1.85	0.5854924957	0.0169838677	0
196610	1.32	5.76	4.57	4.87	3.14	0.5616613181	0.0151835747	0.006116208
196611	-0.75	0.68	4	6.89	7.91	0.5726449298	0.0175491557	0
196612	-2	0.9	1.61	-0.17	2.08	0.5769451056	0.0172079259	0
196701	11.19	7.23	8.32	6.41	11.98	0.5333631411	0.0156977923	0
196702	0.89	0.26	4.3	1.42	-0.25	0.5400478931	0.017701209	0
196703	3.91	4.34	4.3	7.83	4.17	0.5495507979	0.0149216835	0.0030395137
196704	8.39	2.79	4.34	4.46	2.23	0.5305166936	0.0150463556	0.003030303
196705	-5.21	-3.38	-4.97	-5.29	-1.88	0.5582011823	0.0114646702	0.003021148
196706	2.4	1.52	4.79	5.38	3.77	0.553204845	0.0101533857	0.0030120482
196707	8.08	5.11	-0.45	3.79	7.87	0.5262983279	0.0066875347	0.003003003
196708	-0.14	-0.8	-1.11	0.66	-0.25	0.5280209478	0.0058418374	0.002994012
196709	3.78	2.85	5.59	2.89	1.36	0.5135648458	0.0056002036	0.0029850746
196710	-2.95	-3.61	1.74	-5.01	-5.17	0.5409552822	0.00371557	0.0029761905
196711	0.07	1.12	0.92	1.33	-0.39	0.5433826972	0.0027733318	0.0029673591
196712	2.23	4.25	1.48	1.62	5.53	0.5257924451	0.0143610729	0.0029585799
196801	-2.21	-3.72	-4.8	-6.57	-1.84	0.5563023835	0.0128541544	0.005899705
196802	-2.07	-3.31	-3.76	-4.24	-3.56	0.5662105889	0.0104507284	0.0029325513
196803	1.15	-0.06	2.19	0.1	-0.09	0.5668098065	0.0126771562	0.0029239766
196804	11.8	7.76	8.72	11.9	12.1	0.5223520642	0.00814016	0.0029154519
196805	2.36	2.16	2.27	3.34	6.25	0.5300333704	0.0106464132	0.0029069767
196806	-0.19	1.71	0.01	2.25	2.99	0.5307418133	0.0120900958	0.0057971014
196807	-3.77	-0.74	-3.81	-4.1	-2.76	0.5396375991	0.0138854348	0.0057636888
196808	1.99	1.97	0.78	0.68	2.82	0.5318021004	0.018035051	0.0028653295
196809	6.45	3.52	2.95	0.85	9.17	0.5091954391	0.0182870281	0.0028571429
196810	2.41	1.36	-2.19	-0.05	1.1	0.500320247	0.019410059	0.0056980057
196811	2.63	6.2	7.44	8.1	7.63	0.4837170585	0.0211886848	0.0028328612
196812	-3.21	-3.12	-5.82	-1.03	-3.75	0.5049006623	0.0319614907	0.0028248588
196901	-1.43	-0.15	-2.62	-0.23	0.88	0.5036731674	0.0365245731	0.0028169014
196902	-4.66	-5.35	-3.49	-5.14	-8.35	0.5263971896	0.0413174118	0.0056179775
